english,minihongo,japanese,english_litteral,example_minihongo,example_english,page,category
clock,時を見る物,,time-seeing thing,,,word-building,Build Your Own Vocabulary > 物 (Objects)
mirror,自分を見る物,,self-seeing thing,,,word-building,Build Your Own Vocabulary > 物 (Objects)
candle,火の光,,fire light,,,word-building,Build Your Own Vocabulary > 物 (Objects)
rope,長い強い物,,long strong thing,,,word-building,Build Your Own Vocabulary > 物 (Objects)
computer,考える物,,thinking thing,,,word-building,Build Your Own Vocabulary > 物 (Objects)
phone,音で言う物,,sound-saying thing,,,word-building,Build Your Own Vocabulary > 物 (Objects)
car,速く行く物,,fast-going thing,,,word-building,Build Your Own Vocabulary > 物 (Objects)
boat,水の上の物,,on-water thing,,,word-building,Build Your Own Vocabulary > 物 (Objects)
airplane,空を行く物,,sky-going thing,,,word-building,Build Your Own Vocabulary > 物 (Objects)
fruit,木の食べ物,,tree food,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
vegetable,草の食べ物,,grass food,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
meat,動物の食べ物,,animal food,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
milk,白い動物の水,,white animal water,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
medicine,体を良くする物,,body-improving thing,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
poison,体を悪くする物,,body-worsening thing,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
face,目と口がある場所,,place with eyes and mouth,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
tooth,口の中の白い物,,white thing in mouth,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
blood,体の中の赤い水,,red water in body,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
sickness,体が悪い事,,body being bad,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
fever,体が暑い,,body is hot,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
pain,悪い感じ,,bad feeling,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
dream,寝る時に見る事,,thing seen while sleeping,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
hungry,食べ物が欲しい,,want food,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
tired,体が重い,,body is heavy,,,word-building,Build Your Own Vocabulary > 食べ物と体 (Food & Body)
yesterday,前の日,,previous day,,,word-building,Build Your Own Vocabulary > 時 (Time)
tomorrow,後の日,,next day,,,word-building,Build Your Own Vocabulary > 時 (Time)
noon,日の中,,middle of day,,,word-building,Build Your Own Vocabulary > 時 (Time)
midnight,夜の中,,middle of night,,,word-building,Build Your Own Vocabulary > 時 (Time)
tonight,今の夜,,now's night,,,word-building,Build Your Own Vocabulary > 時 (Time)
spring,暑くなる時,,becoming-hot time,,,word-building,Build Your Own Vocabulary > 時 (Time)
summer,暑い時,,hot time,,,word-building,Build Your Own Vocabulary > 時 (Time)
autumn,寒くなる時,,becoming-cold time,,,word-building,Build Your Own Vocabulary > 時 (Time)
winter,寒い時,,cold time,,,word-building,Build Your Own Vocabulary > 時 (Time)
forever,終わらない時,,never-ending time,,,word-building,Build Your Own Vocabulary > 時 (Time)
ancient,とても前の時,,very before time,,,word-building,Build Your Own Vocabulary > 時 (Time)
future,後の時,,after time,,,word-building,Build Your Own Vocabulary > 時 (Time)
holiday,する事がない日,,nothing-to-do day,,,word-building,Build Your Own Vocabulary > 時 (Time)
small,大きくない,,not 大きい,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
short,長くない,,not 長い,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
"low, cheap",高くない,,not 高い,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
light (weight),重くない,,not 重い,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
weak,強くない,,not 強い,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
slow,速くない,,not 速い,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
old (thing),新しくない,,not 新しい,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
dirty,きれいじゃない,,not きれい,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
dark,明るくない,,not 明るい,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
quiet,音がない,,soundless,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
same,違わない,,not different,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
bad,良くない,,not good,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
unnecessary,必要じゃない,,not necessary,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
impossible,できない,,cannot,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
unknown,知らない,,not known,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
invisible,見えない,,not visible,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
empty,中に何もない,,nothing inside,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
safe,悪い事が起こらない,,bad things don't happen,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
boring,楽しくない,,not fun,,,word-building,Build Your Own Vocabulary > 様子 — 反対は「ない」 (Qualities — Negate to Get the Opposite)
run,速く足で動く,,move fast with feet,,,word-building,Build Your Own Vocabulary > する事 (Actions)
fly,空を行く,,go in sky,,,word-building,Build Your Own Vocabulary > する事 (Actions)
swim,水の中を動く,,move in water,,,word-building,Build Your Own Vocabulary > する事 (Actions)
climb,上に行く,,go up,,,word-building,Build Your Own Vocabulary > する事 (Actions)
jump,速く上に動く,,quickly move up,,,word-building,Build Your Own Vocabulary > する事 (Actions)
fall,下に行く,,go down,,,word-building,Build Your Own Vocabulary > する事 (Actions)
return,家に行く,,go home,,,word-building,Build Your Own Vocabulary > する事 (Actions)
rest,何もしない,,do nothing,,,word-building,Build Your Own Vocabulary > する事 (Actions)
play,楽しい事をする,,do fun things,,,word-building,Build Your Own Vocabulary > する事 (Actions)
learn,新しく知る,,newly know,,,word-building,Build Your Own Vocabulary > する事 (Actions)
forget,知らなくなる,,become not-knowing,,,word-building,Build Your Own Vocabulary > する事 (Actions)
hide,見えない場所に行く,,go to unseen place,,,word-building,Build Your Own Vocabulary > する事 (Actions)
sing,音を作る,,make sound,,,word-building,Build Your Own Vocabulary > する事 (Actions)
cook,火で食べ物を作る,,make food with fire,,,word-building,Build Your Own Vocabulary > する事 (Actions)
steal,人の物を持って行く,,take person's thing,,,word-building,Build Your Own Vocabulary > する事 (Actions)
wash,水できれいにする,,make clean with water,,,word-building,Build Your Own Vocabulary > する事 (Actions)
repair,壊れた物を良くする,,make broken thing good,,,word-building,Build Your Own Vocabulary > する事 (Actions)
plant,草を土に入れる,,put grass in earth,,,word-building,Build Your Own Vocabulary > する事 (Actions)
draw,色で物を作る,,make things with color,,,word-building,Build Your Own Vocabulary > する事 (Actions)
life,生きる事,,living matter,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
death,死ぬ事,,dying matter,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
love,心がとても好きな事,,heart very-liking,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
anger,怒る事,,angry matter,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
fear,怖いと感じる事,,feeling scared,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
hope,良い事を待つ事,,waiting for good things,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
peace,戦わない事,,not fighting,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
war,国と国が戦う事,,countries fighting,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
freedom,好きにできる事,,able to do as liked,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
truth,本当の事,,true matter,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
lie,本当じゃない事,,not-true matter,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
idea,新しい考え,,new thought,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
luck,良い事が起こる事,,good things happening,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
secret,他の人が知らない事,,thing others don't know,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
music,きれいな音,,pretty sound,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
story,長い言葉,,long words,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
song,音と言葉,,sound and words,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
letter (mail),書いた言葉,,written words,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
gift,与える物,,giving thing,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
language,国の言葉,,country's words,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
mistake,悪くした事,,badly-done thing,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
happiness,心が良い事,,heart-good matter,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
danger,悪い事が起こる,,bad things happen,,,word-building,Build Your Own Vocabulary > 心と考え (Abstract)
walk,足で動く,,move with feet,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
morning,太陽が出る時,,sun coming-out time,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
today,今の日,,now's day,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
work,する事,,thing to do,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
problem,悪い事,,bad thing,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
meaning,言葉の事,,word's matter,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
important,とても必要,,very necessary,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
dangerous,悪い事が起こる,,bad things happen,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
world,全部の場所,,all places,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
touch,手で感じる,,feel with hand,,,word-building,Build Your Own Vocabulary > 消えた言葉 (Removed Words as Compounds)
"daily life, living",毎日する事,生活,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"telephone, phone call",外にいる人と言葉を使う物,電話,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"photograph, photo",見た物を書いた物,写真,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"movie, film",動く写真を見る物,映画,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
music,きれいな音,音楽,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
newspaper,毎日書く本,新聞,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
magazine,多い事を書いた本,雑誌,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"letter, written letter",人に書く言葉,手紙,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"luggage, baggage, package",持つ物,荷物,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"key, lock",家を開ける物,鍵,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
window,家の中に外の光が入る場所,窓,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
wall,家の右と左にある物,壁,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
floor,家の中の下,床,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
roof,家の上にある物,屋根,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
kitchen,食べる物を作る場所,台所,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"bath, bathtub",体を水できれいにする場所,風呂,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
room,家の中の場所,部屋,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"cleaning, sweeping",場所をきれいにする事,掃除,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"laundry, washing clothes",服を水できれいにする事,洗濯,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"cooking, cuisine",食べる物を作る事,料理,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
shopping,物を買う事,買い物,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"walk, stroll",外を動いていく事,散歩,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"preparation, getting ready",前にする事,支度,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"preparation, arrangement",始まる前にする事,準備,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"promise, appointment",人に「する」と言う事,約束,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"schedule, plan",後にする事,予定,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"hobby, interest",好きでする事,趣味,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"practice, training",良くなるために何かを多くする事,練習,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"study, studying",知るために読んだり聞いたりする事,勉強,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
homework,家でする勉強,宿題,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
question,知りたい事を聞く言葉,質問,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"answer, response",聞かれた事を言う事,答え,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"reply, response",人の言葉に言う事,返事,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
greeting,会った時に言う言葉,挨拶,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"contact, communication",人に知らせる事,連絡,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"consultation, discussion",人と考える事,相談,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"introduction, referral",人や物の事を他の人に教える事,紹介,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
invitation,人に「来てください」と言う事,招待,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
experience,前にした事,経験,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"plan, project",後にする事を考える事,計画,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"caution, attention, warning",よく見てほしい事,注意,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"order (food, goods)",「これをください」と言う事,注文,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"price, cost",物を買うお金,値段,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
discount,お金が少しで良くなる事,割引,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
free of charge,お金がない事,無料,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"ordinary, normal, usual",変ではない,普通,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"special, particular",他と違う良い事,特別,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"important, precious, valued",とても必要な,大切,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"easy, simple",だれでもできる,簡単,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"complex, complicated",多くの事が中にある,複雑,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"convenient, handy",よく使える良い,便利,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
inconvenient,よく使えない悪い,不便,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"polite, careful, thorough",人に良い言葉を使う,丁寧,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"suitable, appropriate; casual",その時に良い,適当,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"freedom, liberty",したい事ができる,自由,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"travel, trip",他の国や場所に行く事,旅行,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
weather,空の今の事,天気,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
season,年の中の時,季節,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 日常生活 (Daily Life & Routines)
"work, job, occupation",する事,仕事,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"company, business",仕事をする場所,会社,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"company president, CEO",会社の一番上の人,社長,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
company employee,会社で仕事をする人,社員,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"department head, director",会社の中の大きい場所の上の人,部長,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"superior, boss",仕事で上にいる人,上司,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"subordinate, staff under one",仕事で下にいる人,部下,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"colleague, coworker",その会社で仕事をする他の人,同僚,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"customer, guest, visitor",来る人,客,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"meeting, conference",多くの人が来て考える事,会議,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"materials, documents, data",仕事に使う書いた物,資料,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"report, notification",した事を上の人に言う事,報告,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"explanation, description",知らない人に言葉で教える事,説明,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"debate, argument, discussion",人と違う考えを言う事,議論,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"contract, agreement",人と「する」と書いた物,契約,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"salary, wages, pay",仕事をしてもらうお金,給料,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
overtime work,終わった後もする仕事,残業,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
business trip,仕事で他の場所に行く事,出張,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"job change, career change",違う仕事に変わる事,転職,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"retirement, resignation",仕事を終わらせる事,退職,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"getting a job, employment",はじめて仕事を始める事,就職,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
job interview,仕事のために会って言葉を使う事,面接,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"exam, test",知っているかを見る事,試験,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"grades, results, performance",試験でどのくらい良かったかの数,成績,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
graduation,学校が終わる事,卒業,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"school enrollment, starting school",学校に入る事,入学,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"class, lesson, lecture",学校で教えてもらう事,授業,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
classroom,教える場所,教室,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
school,勉強する場所,学校,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"university, college",大きい学校,大学,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"research, study, investigation",まだ知らない事を探す事,研究,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"experiment, test",知るために物を使ってみる事,実験,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"technology, technique, skill",物を作ったり使ったりできる事,技術,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"ability, capability, talent",できる事,能力,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"effort, hard work",良くなるためにとても強くする事,努力,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"success, achievement",したい事ができた事,成功,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"failure, mistake",したい事ができなかった事,失敗,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"result, outcome",した後に起こる事,結果,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"goal, target, objective",したい事の場所,目標,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"reason, cause",なぜかの事,理由,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"method, way, means",どうするかの事,方法,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"problem, question, issue",良くない事が起こっている,問題,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"solution, resolution",問題を良くする事,解決,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"responsibility, duty",しなければならない事,責任,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"rule, regulation",しなければならない事と、してはいけない事,規則,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"permission, approval",「していい」と言う事,許可,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"assignment, task, challenge",しなければならない事,課題,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"evaluation, assessment, rating",良いか悪いかを見る事,評価,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"presentation, announcement",多くの人に言う事,発表,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"opinion, view",私が思う事,意見,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"teacher, instructor",教える人,先生,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
"student (K-12), pupil",学校で勉強する子供,生徒,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 仕事と学校 (Work & School)
hundred (100),十が十,百,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"thousand (1,000)",百が十,千,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"ten-thousand (10,000)",千が十,万,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
half,一つの物を二つに切った一つ,半分,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"double, times (multiplier)",もう一つ多い事,倍,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
number (as identifier),その物の名前になる数,番号,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"number, count, quantity",いくつあるかを言う物,数,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"time(s), occurrence (counter)",何かをした数,回,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"degree, time(s), occasion",何かが起こった数,度,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"flat things counter (sheets, cards)",本の中のような物の数を言う言葉,枚,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"long thin things counter (pens, bottles)",長い物の数を言う言葉,本,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
small objects counter (pieces),物の数を言う言葉,個,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
small animals counter,動物の数を言う言葉,匹,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
machines/vehicles counter,動く物の数を言う言葉,台,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
cups/bowls counter (drinks),飲む物の数を言う言葉,杯,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
bound books counter,本の数を言う言葉,冊,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
pairs of footwear counter,足に着る物の数を言う言葉,足,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
clothing items counter,体に着る物の数を言う言葉,着,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"ten percent unit, proportion",十の中の一つ,割,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"number in sequence, rank",前から何番目かを言う言葉,番,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
"first, number one",一番前,第一,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 数と数え方 (Numbers & Counting)
