id,category_id,minihongo,english,japanese,definition_minihongo,english_litteral,example_minihongo,example_english,example_japanese,sort_order,audio_word,audio_example
word-131,cat-11,前【まえ】,before,前、以前,今【いま】より前【まえ】の時【とき】,,食【た】べる前【まえ】に水【みず】を飲【の】む。,I drink water before eating.,食べる前に水を飲む。,131,w_mae.mp3,w_mae_ex.mp3
word-132,cat-11,後【あと】,after,後、後で,今【いま】より後【あと】の時【とき】,,食【た】べた後【あと】、家【いえ】に行【い】く。,"After eating, I go home.",食べた後、家に行く。,132,w_ato.mp3,w_ato_ex.mp3
word-133,cat-11,毎【まい】,every,毎〜、いつも,全部【ぜんぶ】の時【とき】。いつも。,,毎【まい】日【にち】水【みず】を飲【の】む。,I drink water every day.,毎日水を飲む。,133,w_mai.mp3,w_mai_ex.mp3
word-134,cat-11,日【にち】,day,日,太陽【たいよう】が出【で】てから夜【よる】までの時【とき】,,良【よ】い日【にち】だ。,It is a good day.,良い日だ。,134,w_nichi.mp3,w_nichi_ex.mp3
word-135,cat-11,年【とし】,year,年,とても長【なが】い時【とき】,,新【あたら】しい年【とし】が始【はじ】まる。,A new year begins.,新しい年が始まる。,135,w_toshi.mp3,w_toshi_ex.mp3
word-136,cat-11,夜【よる】,night,夜,太陽【たいよう】がなくて明【あか】るくない時【とき】,,夜【よる】、空【そら】に月【つき】が見【み】える。,"At night, the moon is visible in the sky.",夜、空に月が見える。,136,w_yoru.mp3,w_yoru_ex.mp3
word-137,cat-12,家【いえ】,"house, home",家、住まい,人【ひと】が中【なか】で生【い】きるところ,,私【わたし】の家【いえ】は大【おお】きい。,My house is big.,私の家は大きい。,137,w_ie.mp3,w_ie_ex.mp3
word-138,cat-12,上【うえ】,"above, up",上,高【たか】いところ,,山【やま】の上【うえ】に人【ひと】がいる。,There is a person on top of the mountain.,山の上に人がいる。,138,w_ue.mp3,w_ue_ex.mp3
word-139,cat-12,下【した】,"below, down",下,上【うえ】でないところ,,木【き】の下【した】に何【なに】かある。,There is something under the tree.,木の下に何かある。,139,w_shita.mp3,w_shita_ex.mp3
word-140,cat-12,中【なか】,"inside, middle",中、内側,外【そと】でないところ,,家【いえ】の中【なか】に物【もの】がある。,There are things inside the house.,家の中に物がある。,140,w_naka.mp3,w_naka_ex.mp3
word-141,cat-12,右【みぎ】,right,右,左【ひだり】でないところ,,右【みぎ】に建物【たてもの】がある。,There is a building on the right.,右に建物がある。,141,w_migi.mp3,w_migi_ex.mp3
word-142,cat-12,左【ひだり】,left,左,右【みぎ】でないところ,,左【ひだり】に山【やま】がある。,There is a mountain on the left.,左に山がある。,142,w_hidari.mp3,w_hidari_ex.mp3
word-143,cat-12,近【ちか】い,near,近い,ここからそこまでが大【おお】きくない,,山【やま】は家【いえ】から近【ちか】い。,The mountain is close to the house.,山は家から近い。,143,w_chikai.mp3,w_chikai_ex.mp3
word-144,cat-12,ここ,here,ここ,私【わたし】がいるところ,,ここに座【すわ】ってください。,Please sit here.,ここに座ってください。,144,w_koko.mp3,w_koko_ex.mp3
word-145,cat-12,そこ,there,そこ、あそこ,近【ちか】いけどここでないところ,,そこに何【なに】がある？,What is there?,そこに何がある？,145,w_soko.mp3,w_soko_ex.mp3
word-146,cat-12,どこ,where,どこ,どのところかを聞【き】く言【こと】葉【ば】,,海【うみ】はどこ？,Where is the sea?,海はどこ？,146,w_doko.mp3,w_doko_ex.mp3
word-147,cat-13,一【いち】,one,一,一【ひと】つだけ,,一【いち】と二【に】で三【さん】。,One and two make three.,一と二で三。,147,w_ichi.mp3,w_ichi_ex.mp3
word-148,cat-13,二【に】,two,二,一【いち】と一【いち】,,二【に】は一【いち】の後【あと】。,Two comes after one.,二は一の後。,148,w_ni.mp3,w_ni_ex.mp3
word-149,cat-13,三【さん】,three,三,二【に】と一【いち】,,一【いち】、二【に】、三【さん】。,"One, two, three.",一、二、三。,149,w_san.mp3,w_san_ex.mp3
word-150,cat-13,五【ご】,five,五,三【さん】と二【に】,,三【さん】と二【に】で五【ご】。,Three and two make five.,三と二で五。,150,w_go.mp3,w_go_ex.mp3
word-151,cat-13,十【じゅう】,ten,十,五【ご】と五【ご】,,五【ご】と五【ご】で十【じゅう】。,Five and five make ten.,五と五で十。,151,w_juu.mp3,w_juu_ex.mp3
word-152,cat-13,多【おお】い,many,多い、たくさん,少【すこ】しでない,,ここは人【ひと】が多【おお】い。,There are many people here.,ここは人が多い。,152,w_ooi.mp3,w_ooi_ex.mp3
word-153,cat-13,全部【ぜんぶ】,all,全部、すべて,一【ひと】つもないものがない,,全部【ぜんぶ】食【た】べた。,I ate everything.,全部食べた。,153,w_zenbu.mp3,w_zenbu_ex.mp3
word-154,cat-13,ない,"not, don't have",ない,いない。ゼロ。そこに何【なに】もない事【こと】。,,お金【かね】がない。,I have no money.,お金がない。,154,w_nai.mp3,w_nai_ex.mp3
word-155,cat-13,できる,"can, be able",できる,する事【こと】が止【と】まらない,,これは一人【ひとり】でできる。,I can do this alone.,これは一人でできる。,155,w_dekiru.mp3,w_dekiru_ex.mp3
word-156,cat-14,と,and,と、そして,二【ふた】つのものを一【ひと】つにする言【こと】葉【ば】,,水【みず】と食【た】べ物【もの】をください。,Please give me water and food.,水と食べ物をください。,156,w_to.mp3,w_to_ex.mp3
word-157,cat-14,または,or,または、か,一【ひと】つかもう一【ひと】つ,,水【みず】または飲【の】み物【もの】をください。,Please give me water or a drink.,水または飲み物をください。,157,w_mataha.mp3,w_mataha_ex.mp3
word-158,cat-14,でも,but,でも、しかし,前【まえ】の事【こと】と違【ちが】う事【こと】を言【い】う時【とき】の言【こと】葉【ば】,,小【ちい】さい。でも強【つよ】い。,Small. But strong.,小さい。でも強い。,158,w_demo.mp3,w_demo_ex.mp3
word-159,cat-14,から,"from, because",から,始【はじ】まるところ。なぜかを言【い】う時【とき】の言【こと】葉【ば】。,,寒【さむ】いから、家【いえ】にいる。,"It's cold, so I stay home.",寒いから、家にいる。,159,w_kara.mp3,w_kara_ex.mp3
word-160,cat-14,まで,"until, to",まで,終【お】わるところ,,夜【よる】まで待【ま】つ。,I wait until night.,夜まで待つ。,160,w_made.mp3,w_made_ex.mp3
word-161,cat-14,なら,if,もし,もしそうだったらの言【こと】葉【ば】,,時【とき】があるなら、外【そと】に行【い】く。,"If there is time, I go outside.",時があるなら、外に行く。,161,w_nara.mp3,w_nara_ex.mp3
word-162,cat-14,だけ,only,だけ,他【ほか】にはない。それ一【ひと】つ。,,水【みず】だけ飲【の】む。,I only drink water.,水だけ飲む。,162,w_dake.mp3,w_dake_ex.mp3
word-163,cat-14,も,also,も,それと他【ほか】にもう一【ひと】つある事【こと】,,私【わたし】も行【い】く。,I go too.,私も行く。,163,w_mo.mp3,w_mo_ex.mp3
word-164,cat-14,もっと,more,もっと,今【いま】より多【おお】く,,もっと食【た】べたい。,I want to eat more.,もっと食べたい。,164,w_motto.mp3,w_motto_ex.mp3
word-165,cat-14,もう,already,もう,前【まえ】にそれが終【お】わった事【こと】,,もう食【た】べた。,I already ate.,もう食べた。,165,w_mou.mp3,w_mou_ex.mp3
word-166,cat-14,まだ,"still, yet",まだ,今【いま】もその事【こと】が変【か】わっていない,,まだ食【た】べていない。,I haven't eaten yet.,まだ食べていない。,166,w_mada.mp3,w_mada_ex.mp3
word-167,cat-14,とても,very,とても,多【おお】く。強【つよ】く。,,この食【た】べ物【もの】はとても良【よ】い。,This food is very good.,この食べ物はとても良い。,167,w_totemo.mp3,w_totemo_ex.mp3
word-168,cat-14,少【すこ】し,a little,少し,多【おお】くない,,少【すこ】し待【ま】ってください。,Please wait a moment.,少し待ってください。,168,w_sukoshi.mp3,w_sukoshi_ex.mp3
word-169,cat-15,すみません,excuse me,すみません,悪【わる】い事【こと】をした時【とき】に言【い】う。人【ひと】に聞【き】く前【まえ】にも使【つか】う。,,すみません、道【みち】を教【おし】えてください。,"Excuse me, please tell me the way.",すみません、道を教えてください。,169,w_sumimasen.mp3,w_sumimasen_ex.mp3
word-170,cat-15,ありがとう,thank you,ありがとう,良【よ】い事【こと】をもらった時【とき】に言【い】う言【こと】葉【ば】,,ありがとう。助【たす】かった。,Thank you. That helped.,ありがとう。助かった。,170,w_arigatou.mp3,w_arigatou_ex.mp3
word-171,cat-15,ください,please (give me),ください,欲【ほ】しいものを人【ひと】に言【い】う時【とき】の言【こと】葉【ば】,,水【みず】をください。,Please give me water.,水をください。,171,w_kudasai.mp3,w_kudasai_ex.mp3
word-172,cat-15,はい,yes,はい,本当【ほんとう】だと言【い】う時【とき】の言【こと】葉【ば】,,はい、分【わ】かった。,"Yes, I understand.",はい、分かった。,172,w_hai.mp3,w_hai_ex.mp3
word-173,cat-15,どうぞ,please (go ahead),どうぞ,する事【こと】が良【よ】いと言【い】う時【とき】の言【こと】葉【ば】,,どうぞ、座【すわ】ってください。,"Please, have a seat.",どうぞ、座ってください。,173,w_douzo.mp3,w_douzo_ex.mp3
word-174,cat-15,どう,how,どう、どのように,どのようにかを聞【き】く言【こと】葉【ば】,,これはどう使【つか】う？,How do you use this?,これはどう使う？,174,w_dou.mp3,w_dou_ex.mp3
word-175,cat-15,いつ,when,いつ,どの時【とき】かを聞【き】く言【こと】葉【ば】,,いつ来【く】る？,When are you coming?,いつ来る？,175,w_itsu.mp3,w_itsu_ex.mp3
word-176,cat-15,なぜ,why,なぜ,何【なに】からかを聞【き】く言【こと】葉【ば】,,なぜ行【い】かない？,Why don't you go?,なぜ行かない？,176,w_naze.mp3,w_naze_ex.mp3
word-177,cat-15,これ,this,これ,ここにあるもの,,これは何【なん】だ？,What is this?,これは何だ？,177,w_kore.mp3,w_kore_ex.mp3
word-178,cat-15,それ,that,あれ、それ,そこにあるもの,,それをください。,Please give me that.,それをください。,178,w_sore.mp3,w_sore_ex.mp3
word-179,cat-15,この,this (+noun),この,ここにあるものの,,この本【ほん】は良【よ】い。,This book is good.,この本は良い。,179,w_kono.mp3,w_kono_ex.mp3
word-180,cat-15,その,that (+noun),あの、その,そこにあるものの,,その食【た】べ物【もの】は何【なん】だ？,What is that food?,その食べ物は何だ？,180,w_sono.mp3,w_sono_ex.mp3
word-181,cat-15,本当【ほんとう】,"true, real",本当の、真実の,ある事【こと】がある事【こと】。変【か】わらない。,,本当【ほんとう】か？,Is that true?,本当か？,181,w_hontou.mp3,w_hontou_ex.mp3
word-182,cat-15,方【かた】,"way, method",方法、やり方,どうするかの形【かたち】。する事【こと】の後【あと】に付【つ】ける。,,食【た】べ方【かた】を教【おし】えてください。,Please teach me how to eat.,食べ方を教えてください。,182,w_kata.mp3,w_kata_ex.mp3
