id,category_id,minihongo,reading,english,japanese,english_litteral,sort_order,audio_file
expr-241,cat-50,よく使【つか】えない悪【わる】い,ふべん,inconvenient,不便,,241,e_241_fuben.mp3
expr-242,cat-50,人【ひと】に良【よ】い言葉【ことば】を使【つか】う,ていねい,"polite, careful, thorough",丁寧,,242,e_242_teinei.mp3
expr-243,cat-50,その時【とき】に良【よ】い,てきとう,"suitable, appropriate; casual",適当,,243,e_243_tekitou.mp3
expr-244,cat-50,したい事【こと】ができる,じゆう,"freedom, liberty",自由,,244,e_244_jiyuu.mp3
expr-245,cat-50,他【ほか】の国【くに】や場所【ばしょ】に行【い】く事【こと】,りょこう,"travel, trip",旅行,,245,e_245_ryokou.mp3
expr-246,cat-50,空【そら】の今【いま】の事【こと】,てんき,weather,天気,,246,e_246_tenki.mp3
expr-247,cat-50,年【とし】の中【なか】の時【とき】,きせつ,season,季節,,247,e_247_kisetsu.mp3
expr-248,cat-51,する事【こと】,しごと,"work, job, occupation",仕事,,248,e_248_shigoto.mp3
expr-249,cat-51,する事【こと】をする場所【ばしょ】,かいしゃ,"company, business",会社,,249,e_249_kaisha.mp3
expr-250,cat-51,する事【こと】の場所【ばしょ】で一【いち】つだけ上【うえ】の人【ひと】,しゃちょう,"company president, CEO",社長,,250,e_250_shachou.mp3
expr-251,cat-51,する事【こと】の場所【ばしょ】でする事【こと】をする人【ひと】,しゃいん,company employee,社員,,251,e_251_shain.mp3
expr-252,cat-51,する事【こと】の場所【ばしょ】の中【なか】の大【おお】きい所【ところ】の上【うえ】の人【ひと】,ぶちょう,"department head, director",部長,,252,e_252_buchou.mp3
expr-253,cat-51,する事【こと】で上【うえ】にいる人【ひと】,じょうし,"superior, boss",上司,,253,e_253_joushi.mp3
expr-254,cat-51,する事【こと】で下【した】にいる人【ひと】,ぶか,"subordinate, staff under one",部下,,254,e_254_buka.mp3
expr-255,cat-51,する事【こと】の場所【ばしょ】でする事【こと】をする他【ほか】の人【ひと】,どうりょう,"colleague, coworker",同僚,,255,e_255_douryou.mp3
expr-256,cat-51,来【く】る人【ひと】,きゃく,"customer, guest, visitor",客,,256,e_256_kyaku.mp3
expr-257,cat-51,多【おお】くの人【ひと】が来【き】て考【かんが】える事【こと】,かいぎ,"meeting, conference",会議,,257,e_257_kaigi.mp3
expr-258,cat-51,する事【こと】に使【つか】う書【か】いた物【もの】,しりょう,"materials, documents, data",資料,,258,e_258_shiryou.mp3
expr-259,cat-51,した事【こと】を上【うえ】の人【ひと】に言【い】う事【こと】,ほうこく,"report, notification",報告,,259,e_259_houkoku.mp3
expr-260,cat-51,知【し】らない人【ひと】に言葉【ことば】で教【おし】える事【こと】,せつめい,"explanation, description",説明,,260,e_260_setsumei.mp3
expr-261,cat-51,人【ひと】と違【ちが】う考【かんが】えを言【い】う事【こと】,ぎろん,"debate, argument, discussion",議論,,261,e_261_giron.mp3
expr-262,cat-51,人【ひと】と「する」と書【か】いた物【もの】,けいやく,"contract, agreement",契約,,262,e_262_keiyaku.mp3
expr-263,cat-51,する事【こと】をしてもらうお金【かね】,きゅうりょう,"salary, wages, pay",給料,,263,e_263_kyuuryou.mp3
expr-264,cat-51,時【とき】が終【お】わった後【あと】もする事【こと】,ざんぎょう,overtime work,残業,,264,e_264_zangyou.mp3
expr-265,cat-51,する事【こと】で他【ほか】の場所【ばしょ】に行【い】く事【こと】,しゅっちょう,business trip,出張,,265,e_265_shucchou.mp3
expr-266,cat-51,する事【こと】を違【ちが】う物【もの】に変【か】える事【こと】,てんしょく,"job change, career change",転職,,266,e_266_tenshoku.mp3
expr-267,cat-51,する事【こと】を終【お】わらせる事【こと】,たいしょく,"retirement, resignation",退職,,267,e_267_taishoku.mp3
expr-268,cat-51,はじめてする事【こと】を始【はじ】める事【こと】,しゅうしょく,"getting a job, employment",就職,,268,e_268_shuushoku.mp3
expr-269,cat-51,する事【こと】のために会【あ】って言葉【ことば】を使【つか】う事【こと】,めんせつ,job interview,面接,,269,e_269_mensetsu.mp3
expr-270,cat-51,知【し】っているかを見【み】る事【こと】,しけん,"exam, test",試験,,270,e_270_shiken.mp3
expr-271,cat-51,知【し】っている事【こと】を見【み】た時【とき】の良【よ】さ,せいせき,"grades, results, performance",成績,,271,e_271_seiseki.mp3
expr-272,cat-51,教【おし】える場所【ばしょ】が終【お】わる事【こと】,そつぎょう,graduation,卒業,,272,e_272_sotsugyou.mp3
expr-273,cat-51,教【おし】える場所【ばしょ】に入【はい】る事【こと】,にゅうがく,"school enrollment, starting school",入学,,273,e_273_nyuugaku.mp3
expr-274,cat-51,教【おし】える場所【ばしょ】で教【おし】えてもらう事【こと】,じゅぎょう,"class, lesson, lecture",授業,,274,e_274_jugyou.mp3
expr-275,cat-51,教【おし】える場所【ばしょ】,きょうしつ,classroom,教室,,275,e_275_kyoushitsu.mp3
expr-276,cat-51,教【おし】える場所【ばしょ】,がっこう,school,学校,,276,e_276_gakkou.mp3
expr-277,cat-51,大【おお】きい教【おし】える場所【ばしょ】,だいがく,"university, college",大学,,277,e_277_daigaku.mp3
expr-278,cat-51,まだ知【し】らない事【こと】を探【さが】す事【こと】,けんきゅう,"research, study, investigation",研究,,278,e_278_kenkyuu.mp3
expr-279,cat-51,知【し】るために物【もの】を使【つか】ってみる事【こと】,じっけん,"experiment, test",実験,,279,e_279_jikken.mp3
expr-280,cat-51,物【もの】を作【つく】ったり使【つか】ったりできる事【こと】,ぎじゅつ,"technology, technique, skill",技術,,280,e_280_gijutsu.mp3
expr-281,cat-51,できる事【こと】,のうりょく,"ability, capability, talent",能力,,281,e_281_nouryoku.mp3
expr-282,cat-51,良【よ】くなるためにとても強【つよ】くする事【こと】,どりょく,"effort, hard work",努力,,282,e_282_doryoku.mp3
expr-283,cat-51,したい事【こと】ができた事【こと】,せいこう,"success, achievement",成功,,283,e_283_seikou.mp3
expr-284,cat-51,したい事【こと】ができなかった事【こと】,しっぱい,"failure, mistake",失敗,,284,e_284_shippai.mp3
expr-285,cat-51,した後【あと】に起【お】こる事【こと】,けっか,"result, outcome",結果,,285,e_285_kekka.mp3
expr-286,cat-51,したい事【こと】の場所【ばしょ】,もくひょう,"goal, target, objective",目標,,286,e_286_mokuhyou.mp3
expr-287,cat-51,なぜかの事【こと】,りゆう,"reason, cause",理由,,287,e_287_riyuu.mp3
expr-288,cat-51,どうするかの事【こと】,ほうほう,"method, way, means",方法,,288,e_288_houhou.mp3
expr-289,cat-51,良【よ】くない事【こと】が起【お】こっている,もんだい,"problem, question, issue",問題,,289,e_289_mondai.mp3
expr-290,cat-51,悪【わる】い事【こと】を良【よ】くする事【こと】,かいけつ,"solution, resolution",解決,,290,e_290_kaiketsu.mp3
expr-291,cat-51,しなければならない事【こと】,せきにん,"responsibility, duty",責任,,291,e_291_sekinin.mp3
expr-292,cat-51,しなければならない事【こと】と、してはいけない事【こと】,きそく,"rule, regulation",規則,,292,e_292_kisoku.mp3
expr-293,cat-51,「していい」と言【い】う事【こと】,きょか,"permission, approval",許可,,293,e_293_kyoka.mp3
expr-294,cat-51,しなければならない事【こと】,かだい,"assignment, task, challenge",課題,,294,e_294_kadai.mp3
expr-295,cat-51,良【よ】いか悪【わる】いかを見【み】る事【こと】,ひょうか,"evaluation, assessment, rating",評価,,295,e_295_hyouka.mp3
expr-296,cat-51,多【おお】くの人【ひと】に言【い】う事【こと】,はっぴょう,"presentation, announcement",発表,,296,e_296_happyou.mp3
expr-297,cat-51,私【わたし】が思【おも】う事【こと】,いけん,"opinion, view",意見,,297,e_297_iken.mp3
expr-298,cat-51,教【おし】える人【ひと】,せんせい,"teacher, instructor",先生,,298,e_298_sensei.mp3
expr-299,cat-51,教【おし】える場所【ばしょ】で教【おし】えてもらう子供【こども】,せいと,"student (K-12), pupil",生徒,,299,e_299_seito.mp3
expr-300,cat-52,十【じゅう】が十【じゅう】,ひゃく,hundred (100),百,,300,e_300_hyaku.mp3
expr-301,cat-52,十【じゅう】の十【じゅう】が十【じゅう】,せん,"thousand (1,000)",千,,301,e_301_sen.mp3
expr-302,cat-52,十【じゅう】の十【じゅう】の十【じゅう】が十【じゅう】,まん,"ten-thousand (10,000)",万,,302,e_302_man.mp3
expr-303,cat-52,一【いち】つの物【もの】を二【に】つに切【き】った一【いち】つ,はんぶん,half,半分,,303,e_303_hanbun.mp3
expr-304,cat-52,もう一【いち】つ多【おお】い事【こと】,ばい,"double, times (multiplier)",倍,,304,e_304_bai.mp3
expr-305,cat-52,その物【もの】の名前【なまえ】になる多【おお】さ,ばんごう,number (as identifier),番号,,305,e_305_bangou.mp3
expr-306,cat-52,いくつあるかを言【い】う物【もの】,かず,"number, count, quantity",数,,306,e_306_kazu.mp3
expr-307,cat-52,何【なに】かをした多【おお】さ,かい,"time(s), occurrence (counter)",回,,307,e_307_kai.mp3
expr-308,cat-52,何【なに】かが起【お】こった多【おお】さ,ど,"degree, time(s), occasion",度,,308,e_308_do.mp3
expr-309,cat-52,本【ほん】の中【なか】のような物【もの】の多【おお】さを言【い】う言葉【ことば】,まい,"flat things counter (sheets, cards)",枚,,309,e_309_mai.mp3
expr-310,cat-52,長【なが】い物【もの】の多【おお】さを言【い】う言葉【ことば】,ほん,"long thin things counter (pens, bottles)",本,,310,e_310_hon.mp3
expr-311,cat-52,物【もの】の多【おお】さを言【い】う言葉【ことば】,こ,small objects counter (pieces),個,,311,e_311_ko.mp3
expr-312,cat-52,動物【どうぶつ】の多【おお】さを言【い】う言葉【ことば】,ひき,small animals counter,匹,,312,e_312_hiki.mp3
expr-313,cat-52,動【うご】く物【もの】の多【おお】さを言【い】う言葉【ことば】,だい,machines/vehicles counter,台,,313,e_313_dai.mp3
expr-314,cat-52,飲【の】む物【もの】の多【おお】さを言【い】う言葉【ことば】,はい,cups/bowls counter (drinks),杯,,314,e_314_hai.mp3
expr-315,cat-52,本【ほん】の多【おお】さを言【い】う言葉【ことば】,さつ,bound books counter,冊,,315,e_315_satsu.mp3
expr-316,cat-52,足【あし】に着【き】る物【もの】の多【おお】さを言【い】う言葉【ことば】,そく,pairs of footwear counter,足,,316,e_316_soku.mp3
expr-317,cat-52,体【からだ】に着【き】る物【もの】の多【おお】さを言【い】う言葉【ことば】,ちゃく,clothing items counter,着,,317,e_317_chaku.mp3
expr-318,cat-52,十【じゅう】の中【なか】の一【いち】つ,わり,"ten percent unit, proportion",割,,318,e_318_wari.mp3
expr-319,cat-52,前【まえ】からいくつ目【め】かを言【い】う言葉【ことば】,ばん,"number in sequence, rank",番,,319,e_319_ban.mp3
expr-320,cat-52,全部【ぜんぶ】の中【なか】で一【いち】つだけ前【まえ】,だいいち,"first, number one",第一,,320,e_320_daiichi.mp3
expr-321,cat-52,全部【ぜんぶ】の中【なか】で一【いち】つだけ前【まえ】の時【とき】,さいしょ,"first, beginning",最初,,321,e_321_saisho.mp3
expr-322,cat-52,全部【ぜんぶ】の中【なか】で一【いち】つだけ後【あと】の時【とき】,さいご,"last, final",最後,,322,e_322_saigo.mp3
expr-323,cat-52,全部【ぜんぶ】の多【おお】さ,ごうけい,"total, sum",合計,,323,e_323_goukei.mp3
expr-324,cat-52,全部【ぜんぶ】を一【ひと】つにした多【おお】さ,へいきん,"average, mean",平均,,324,e_324_heikin.mp3
expr-325,cat-53,家【いえ】の人【ひと】たち,かぞく,family,家族,,325,e_325_kazoku.mp3
expr-326,cat-53,男【おとこ】の上【うえ】の子供【こども】,あに,older brother,兄,,326,e_326_ani.mp3
expr-327,cat-53,男【おとこ】の下【した】の子供【こども】,おとうと,younger brother,弟,,327,e_327_otouto.mp3
expr-328,cat-53,女【おんな】の上【うえ】の子供【こども】,あね,older sister,姉,,328,e_328_ane.mp3
expr-329,cat-53,女【おんな】の下【した】の子供【こども】,いもうと,younger sister,妹,,329,e_329_imouto.mp3
expr-330,cat-53,女【おんな】の人【ひと】の男【おとこ】,おっと,husband,夫,,330,e_330_otto.mp3
expr-331,cat-53,男【おとこ】の人【ひと】の女【おんな】,つま,wife,妻,,331,e_331_tsuma.mp3
expr-332,cat-53,私【わたし】の男【おとこ】の子供【こども】,むすこ,son,息子,,332,e_332_musuko.mp3
expr-333,cat-53,私【わたし】の女【おんな】の子供【こども】,むすめ,daughter,娘,,333,e_333_musume.mp3
expr-334,cat-53,子供【こども】の父【ちち】または母【はは】,おや,parent,親,,334,e_334_oya.mp3
expr-335,cat-53,父【ちち】の父【ちち】,そふ,grandfather,祖父,,335,e_335_sofu.mp3
expr-336,cat-53,父【ちち】の母【はは】,そぼ,grandmother,祖母,,336,e_336_sobo.mp3
expr-337,cat-53,子供【こども】の子供【こども】,まご,grandchild,孫,,337,e_337_mago.mp3
expr-338,cat-53,よく会【あ】う好【す】きな人【ひと】,ともだち,friend,友達,,338,e_338_tomodachi.mp3
expr-339,cat-53,とても好【す】きな人【ひと】,こいびと,romantic partner,恋人,,339,e_339_koibito.mp3
expr-340,cat-53,あの男【おとこ】の人【ひと】,かれ,he / boyfriend,彼,,340,e_340_kare.mp3
expr-341,cat-53,あの女【おんな】の人【ひと】,かのじょ,she / girlfriend,彼女,,341,e_341_kanojo.mp3
expr-342,cat-53,前【まえ】からいる人【ひと】,せんぱい,senior / upperclassman,先輩,,342,e_342_senpai.mp3
expr-343,cat-53,後【あと】から来【き】た人【ひと】,こうはい,junior / underclassman,後輩,,343,e_343_kouhai.mp3
expr-344,cat-53,よく会【あ】う人【ひと】たち,なかま,companion / fellow member,仲間,,344,e_344_nakama.mp3
expr-345,cat-53,近【ちか】くにいる人【ひと】,りんじん,neighbor,隣人,,345,e_345_rinjin.mp3
expr-346,cat-53,会【あ】っている人【ひと】,あいて,partner / opponent,相手,,346,e_346_aite.mp3
expr-347,cat-53,全部【ぜんぶ】の人【ひと】,みんな,everyone,皆,,347,e_347_minna.mp3
expr-348,cat-53,まだ大【おお】きくなっていない子供【こども】,あかちゃん,baby,赤ちゃん,,348,e_348_akachan.mp3
expr-349,cat-53,年【とし】が少【すこ】しの人【ひと】,わかもの,young person,若者,,349,e_349_wakamono.mp3
expr-350,cat-53,年【とし】が多【おお】い人【ひと】,ろうじん,elderly person,老人,,350,e_350_roujin.mp3
expr-351,cat-53,大【おお】きくなった人【ひと】,おとな,adult,大人,,351,e_351_otona.mp3
expr-352,cat-53,教【おし】える人【ひと】,せんせい,teacher,先生,,352,e_352_sensei.mp3
expr-353,cat-53,体【からだ】を助【たす】ける人【ひと】,いしゃ,doctor,医者,,353,e_353_isha.mp3
expr-354,cat-53,悪【わる】いことをする人【ひと】を止【と】める人【ひと】,けいさつ,police,警察,,354,e_354_keisatsu.mp3
expr-355,cat-53,戦【たたか】う人【ひと】,へいし,soldier,兵士,,355,e_355_heishi.mp3
expr-356,cat-53,国【くに】で高【たか】い人【ひと】,おう,king,王,,356,e_356_ou.mp3
expr-357,cat-53,とても強【つよ】い上【うえ】にいる人【ひと】,かみ,god / deity,神,,357,e_357_kami.mp3
expr-358,cat-53,その国【くに】にいる人【ひと】,しみん,citizen,市民,,358,e_358_shimin.mp3
expr-359,cat-53,その国【くに】の全部【ぜんぶ】の人【ひと】,こくみん,nationals / people of a country,国民,,359,e_359_kokumin.mp3
expr-360,cat-53,戦【たたか】う悪【わる】い人【ひと】,てき,enemy,敵,,360,e_360_teki.mp3
expr-361,cat-53,よく助【たす】けてくれる人【ひと】,みかた,ally,味方,,361,e_361_mikata.mp3
expr-362,cat-53,悪【わる】いことをされた人【ひと】,ひがいしゃ,victim,被害者,,362,e_362_higaisha.mp3
expr-363,cat-53,悪【わる】いことをした人【ひと】,はんにん,criminal / culprit,犯人,,363,e_363_hannin.mp3
expr-364,cat-53,外【そと】の国【くに】から来【き】た人【ひと】,がいこくじん,foreigner,外国人,,364,e_364_gaikokujin.mp3
expr-365,cat-53,その場所【ばしょ】を見【み】に来【き】た人【ひと】,かんこうきゃく,tourist,観光客,,365,e_365_kankoukyaku.mp3
expr-366,cat-53,動【うご】く物【もの】の中【なか】にいる人【ひと】,じょうきゃく,passenger,乗客,,366,e_366_joukyaku.mp3
expr-367,cat-53,体【からだ】が悪【わる】い人【ひと】,かんじゃ,patient (medical),患者,,367,e_367_kanja.mp3
expr-368,cat-53,選【えら】ばれた人【ひと】,せんしゅ,athlete / player,選手,,368,e_368_senshu.mp3
expr-369,cat-53,口【くち】から音【おと】を出【だ】す人【ひと】,かしゅ,singer,歌手,,369,e_369_kashu.mp3
expr-370,cat-53,本【ほん】を作【つく】る人【ひと】,さっか,author / writer,作家,,370,e_370_sakka.mp3
expr-371,cat-53,きれいな物【もの】を作【つく】る人【ひと】,がか,painter / artist,画家,,371,e_371_gaka.mp3
expr-372,cat-53,上【うえ】にいる人【ひと】,じょうし,boss / superior,上司,,372,e_372_joushi.mp3
expr-373,cat-53,下【した】にいる人【ひと】,ぶか,subordinate,部下,,373,e_373_buka.mp3
expr-374,cat-53,来【き】た人【ひと】,きゃく,customer / guest,客,,374,e_374_kyaku.mp3
expr-375,cat-54,良【よ】いことがあった心【こころ】,うれしい,happy / glad,嬉しい,,375,e_375_ureshii.mp3
expr-376,cat-54,一人【ひとり】で悲【かな】しい,さびしい,lonely,寂しい,,376,e_376_sabishii.mp3
expr-377,cat-54,人【ひと】に見【み】られたくない心【こころ】,はずかしい,embarrassed / shy,恥ずかしい,,377,e_377_hazukashii.mp3
expr-378,cat-54,体【からだ】も心【こころ】もとても悪【わる】い,くるしい,painful / agonizing,苦しい,,378,e_378_kurushii.mp3
expr-379,cat-54,とても悲【かな】しくて悪【わる】い,つらい,hard / tough / painful,辛い,,379,e_379_tsurai.mp3
expr-380,cat-54,人【ひと】に良【よ】くする心【こころ】がある,やさしい,kind / gentle,優しい,,380,e_380_yasashii.mp3
expr-381,cat-54,とても強【つよ】くて悪【わる】いことを止【と】める,きびしい,strict / harsh,厳しい,,381,e_381_kibishii.mp3
expr-382,cat-54,変【へん】なことをしない良【よ】い心【こころ】,すなお,honest / obedient,素直,,382,e_382_sunao.mp3
expr-383,cat-54,良【よ】くしようと考【かんが】える人【ひと】,まじめ,serious / diligent,真面目,,383,e_383_majime.mp3
expr-384,cat-54,体【からだ】も心【こころ】も良【よ】い,げんき,energetic / well,元気,,384,e_384_genki.mp3
expr-385,cat-54,良【よ】いことが多【おお】くある心【こころ】,しあわせ,happiness / fortune,幸せ,,385,e_385_shiawase.mp3
expr-386,cat-54,これから悪【わる】いことが来【く】るかもしれないと思【おも】う心【こころ】,ふあん,anxiety / unease,不安,,386,e_386_fuan.mp3
expr-387,cat-54,悪【わる】いことが起【お】こるかもと考【かんが】える,しんぱい,worry / concern,心配,,387,e_387_shinpai.mp3
expr-388,cat-54,怖【こわ】くて体【からだ】が動【うご】きにくい,きんちょう,nervousness / tension,緊張,,388,e_388_kinchou.mp3
expr-389,cat-54,心【こころ】が大【おお】きく動【うご】く,かんどう,being moved / deeply touched,感動,,389,e_389_kandou.mp3
expr-390,cat-54,ありがとうと思【おも】う心【こころ】,かんしゃ,gratitude / thanks,感謝,,390,e_390_kansha.mp3
expr-391,cat-54,前【まえ】にしたことが悪【わる】かったと思【おも】う,こうかい,regret,後悔,,391,e_391_koukai.mp3
expr-392,cat-54,私【わたし】は良【よ】いと思【おも】う強【つよ】い心【こころ】,じしん,self-confidence,自信,,392,e_392_jishin.mp3
expr-393,cat-54,良【よ】いことが来【く】ると思【おも】って待【ま】つ,きたい,expectation / anticipation,期待,,393,e_393_kitai.mp3
expr-394,cat-54,良【よ】いことが起【お】こってほしいと思【おも】う,きぼう,hope / wish,希望,,394,e_394_kibou.mp3
expr-395,cat-54,良【よ】いことはないと思【おも】う,ぜつぼう,despair,絶望,,395,e_395_zetsubou.mp3
expr-396,cat-54,もっと知【し】りたいと思【おも】う心【こころ】,きょうみ,interest / curiosity,興味,,396,e_396_kyoumi.mp3
expr-397,cat-54,楽【たの】しいことが何【なに】もない,たいくつ,boredom,退屈,,397,e_397_taikutsu.mp3
expr-398,cat-54,知【し】らなかったことが起【お】こって感【かん】じる,おどろく,to be surprised,驚く,,398,e_398_odoroku.mp3
expr-399,cat-54,どうすればいいか思【おも】えなくて悪【わる】い,こまる,to be troubled,困る,,399,e_399_komaru.mp3
expr-400,cat-54,どれを選【えら】ぶかと考【かんが】えて止【と】まる,まよう,to hesitate / be lost,迷う,,400,e_400_mayou.mp3
expr-401,cat-54,速【はや】くしなければと思【おも】って怖【こわ】い,あせる,to be impatient / flustered,焦る,,401,e_401_aseru.mp3
expr-402,cat-54,悪【わる】くても止【と】まらずにいること,がまん,endurance / patience,我慢,,402,e_402_gaman.mp3
expr-403,cat-54,悪【わる】いことをした人【ひと】を良【よ】いと言【い】う,ゆるす,to forgive / permit,許す,,403,e_403_yurusu.mp3
expr-404,cat-54,本当【ほんとう】だと思【おも】う,しんじる,to believe / trust,信じる,,404,e_404_shinjiru.mp3
expr-405,cat-54,本当【ほんとう】かどうかと思【おも】う,うたがう,to doubt / suspect,疑う,,405,e_405_utagau.mp3
expr-406,cat-54,とても良【よ】い人【ひと】だと思【おも】う,そんけい,respect,尊敬,,406,e_406_sonkei.mp3
expr-407,cat-54,とても悪【わる】い人【ひと】だと思【おも】う,けいべつ,contempt / scorn,軽蔑,,407,e_407_keibetsu.mp3
expr-408,cat-54,悲【かな】しい人【ひと】の心【こころ】を感【かん】じる,どうじょう,sympathy / compassion,同情,,408,e_408_doujou.mp3
expr-409,cat-54,他【ほか】の人【ひと】が持【も】っているものを欲【ほ】しいと思【おも】う,しっと,jealousy / envy,嫉妬,,409,e_409_shitto.mp3
expr-410,cat-54,悪【わる】いことをされてまだ怒【おこ】る,うらむ,to resent / bear a grudge,恨む,,410,e_410_uramu.mp3
expr-411,cat-54,あの人【ひと】のようになりたいと思【おも】う,あこがれる,to admire / yearn for,憧れる,,411,e_411_akogareru.mp3
expr-412,cat-54,もう良【よ】いと感【かん】じる,まんぞく,satisfaction / contentment,満足,,412,e_412_manzoku.mp3
expr-413,cat-54,まだ良【よ】くないと思【おも】う,ふまん,dissatisfaction / discontent,不満,,413,e_413_fuman.mp3
expr-414,cat-54,一人【ひとり】しかいなくて悲【かな】しい,こどく,loneliness / isolation,孤独,,414,e_414_kodoku.mp3
expr-415,cat-54,怖【こわ】くても前【まえ】に行【い】く強【つよ】い心【こころ】,ゆうき,courage / bravery,勇気,,415,e_415_yuuki.mp3
expr-416,cat-54,私【わたし】は良【よ】いと感【かん】じる強【つよ】い心【こころ】,ほこり,pride,誇り,,416,e_416_hokori.mp3
expr-417,cat-54,ある人【ひと】がとても好【す】きになる心【こころ】,こい,romantic love / crush,恋,,417,e_417_koi.mp3
expr-418,cat-54,ある人【ひと】をとても良【よ】くしたい強【つよ】い心【こころ】,あい,love,愛,,418,e_418_ai.mp3
expr-419,cat-54,悪【わる】いことが起【お】こって怒【おこ】る心【こころ】,いかり,anger,怒り,,419,e_419_ikari.mp3
expr-420,cat-54,良【よ】いことが起【お】こって笑【わら】いたい心【こころ】,よろこび,joy / delight,喜び,,420,e_420_yorokobi.mp3
expr-421,cat-54,知【し】らなかったことを見【み】たり聞【き】いたりした心【こころ】,おどろき,surprise / astonishment,驚き,,421,e_421_odoroki.mp3
expr-422,cat-54,とても怖【こわ】い心【こころ】,きょうふ,fear / terror,恐怖,,422,e_422_kyoufu.mp3
expr-423,cat-54,怒【おこ】らないで良【よ】く考【かんが】える,れいせい,calm / composed,冷静,,423,e_423_reisei.mp3
expr-424,cat-54,他【ほか】の人【ひと】の良【よ】いものを欲【ほ】しいと思【おも】う,うらやむ,to envy,羨む,,424,e_424_urayamu.mp3
expr-425,cat-55,人【ひと】たちがいる場所【ばしょ】,しゃかい,society,社会,,425,e_425_shakai.mp3
expr-426,cat-55,国【くに】をどうするかを選【えら】ぶこと,せいじ,politics,政治,,426,e_426_seiji.mp3
expr-427,cat-55,お金【おかね】と物【もの】の動【うご】き,けいざい,economy,経済,,427,e_427_keizai.mp3
expr-428,cat-55,国【くに】の人【ひと】がしなければならないこと,ほうりつ,law,法律,,428,e_428_houritsu.mp3
expr-429,cat-55,人【ひと】がしてもいいこと,けんり,rights,権利,,429,e_429_kenri.mp3
expr-430,cat-55,人【ひと】がしなければならないこと,ぎむ,duty / obligation,義務,,430,e_430_gimu.mp3
expr-431,cat-55,したいことができること,じゆう,freedom / liberty,自由,,431,e_431_jiyuu.mp3
expr-432,cat-55,戦【たたか】いがない良【よ】い時【とき】,へいわ,peace,平和,,432,e_432_heiwa.mp3
expr-433,cat-55,国【くに】と国【くに】が戦【たたか】うこと,せんそう,war,戦争,,433,e_433_sensou.mp3
expr-434,cat-55,国【くに】のために戦【たたか】う人【ひと】たち,ぐんたい,military / army,軍隊,,434,e_434_guntai.mp3
expr-435,cat-55,国【くに】を動【うご】かす人【ひと】たち,せいふ,government,政府,,435,e_435_seifu.mp3
expr-436,cat-55,国【くに】を動【うご】かす人【ひと】を選【えら】ぶこと,せんきょ,election,選挙,,436,e_436_senkyo.mp3
expr-437,cat-55,国【くに】に与【あた】えるお金【おかね】,ぜいきん,tax,税金,,437,e_437_zeikin.mp3
expr-438,cat-55,前【まえ】に起【お】こったこと,れきし,history,歴史,,438,e_438_rekishi.mp3
expr-439,cat-55,その国【くに】の人【ひと】たちがすること,ぶんか,culture,文化,,439,e_439_bunka.mp3
expr-440,cat-55,人【ひと】の上【うえ】にいる強【つよ】い物【もの】を思【おも】うこと,しゅうきょう,religion,宗教,,440,e_440_shuukyou.mp3
expr-441,cat-55,人【ひと】に教【おし】えること,きょういく,education,教育,,441,e_441_kyouiku.mp3
expr-442,cat-55,物【もの】がどうなっているかを知【し】ること,かがく,science,科学,,442,e_442_kagaku.mp3
expr-443,cat-55,きれいな物【もの】を作【つく】ること,げいじゅつ,art,芸術,,443,e_443_geijutsu.mp3
expr-444,cat-55,言葉【ことば】で作【つく】った本【ほん】,ぶんがく,literature,文学,,444,e_444_bungaku.mp3
expr-445,cat-55,なぜ生【い】きるかを考【かんが】えること,てつがく,philosophy,哲学,,445,e_445_tetsugaku.mp3
expr-446,cat-55,前【まえ】からある事【こと】,でんとう,tradition,伝統,,446,e_446_dentou.mp3
expr-447,cat-55,全部【ぜんぶ】の人【ひと】で楽【たの】しくする日【にち】,まつり,festival,祭り,,447,e_447_matsuri.mp3
expr-448,cat-55,人【ひと】たちが前【まえ】からする事【こと】,ぎしき,ritual / ceremony,儀式,,448,e_448_gishiki.mp3
expr-449,cat-55,男【おとこ】と女【おんな】が家【いえ】の人【ひと】になること,けっこん,marriage,結婚,,449,e_449_kekkon.mp3
expr-450,cat-55,死【し】んだ人【ひと】のためにする事【こと】,そうしき,funeral,葬式,,450,e_450_soushiki.mp3
expr-451,cat-55,悪【わる】いことが起【お】こった事【こと】,じけん,incident / case,事件,,451,e_451_jiken.mp3
expr-452,cat-55,思【おも】わないで悪【わる】いことが起【お】こること,じこ,accident,事故,,452,e_452_jiko.mp3
expr-453,cat-55,人【ひと】がしてはいけない悪【わる】いこと,はんざい,crime,犯罪,,453,e_453_hanzai.mp3
expr-454,cat-55,悪【わる】いことをしたかどうかを人【ひと】が言【い】うこと,さいばん,trial / court,裁判,,454,e_454_saiban.mp3
expr-455,cat-55,悪【わる】いことをした人【ひと】に与【あた】える悪【わる】いこと,けいばつ,punishment / penalty,刑罰,,455,e_455_keibatsu.mp3
expr-456,cat-55,毎【まい】日【にち】の事【こと】が書【か】いてある本【ほん】,しんぶん,newspaper,新聞,,456,e_456_shinbun.mp3
expr-457,cat-55,多【おお】くの人【ひと】に音【おと】や光【ひかり】で言葉【ことば】を出【だ】すこと,ほうそう,broadcast,放送,,457,e_457_housou.mp3
expr-458,cat-55,物【もの】を買【か】ってほしいと言【い】うこと,こうこく,advertisement,広告,,458,e_458_koukoku.mp3
